Time, StartPointBuffer, EndPointBuffer
22.480000, 10048.875000, 9902.125000
22.520000, 10052.250000, 9902.750000
22.560000, 10068.625000, 9907.375000
22.600000, 10069.000000, 9902.000000
22.640000, 10085.375000, 9908.625000
22.680000, 10099.750000, 9951.250000
22.720000, 10077.125000, 10008.875000
22.760000, 10106.500000, 10079.500000
22.800000, 10103.875000, 10142.125000
22.840000, 10110.250000, 10205.750000
22.880000, 10131.625000, 10293.375000
22.920000, 10130.000000, 10372.000000
22.960000, 10114.375000, 10459.625000
23.000000, 10118.750000, 10530.250000
23.040000, 10113.125000, 10603.875000
23.080000, 10108.500000, 10702.500000
23.120000, 10110.875000, 10784.125000
23.160000, 10093.250000, 10884.750000
23.200000, 10072.625000, 10982.375000
23.240000, 10092.000000, 11081.000000
23.280000, 10080.375000, 11169.625000
23.320000, 10097.750000, 11257.250000
23.360000, 10071.125000, 11322.875000
23.400000, 10057.500000, 11362.500000
23.440000, 10063.875000, 11354.125000
23.480000, 10054.250000, 11389.750000
23.520000, 10040.625000, 11403.375000
23.560000, 10038.000000, 11416.000000
23.600000, 10060.375000, 11402.625000
23.640000, 10072.750000, 11419.250000
23.680000, 10066.125000, 11409.875000
23.720000, 10045.500000, 11411.500000
23.760000, 10057.875000, 11412.125000
23.800000, 10060.250000, 11379.750000
23.840000, 10058.625000, 11401.375000
23.880000, 10049.000000, 11384.000000
23.920000, 10069.375000, 11387.625000
23.960000, 10065.750000, 11372.250000
24.000000, 10060.125000, 11359.875000
24.040000, 10045.500000, 11384.500000
24.080000, 10041.875000, 11418.125000
24.120000, 10052.250000, 11405.750000
24.160000, 10021.625000, 11400.375000
24.200000, 10036.000000, 11443.000000
24.240000, 10054.375000, 11441.625000
24.280000, 10068.750000, 11468.250000
24.320000, 10078.125000, 11451.875000
24.360000, 10087.500000, 11437.500000
24.400000, 10079.875000, 11454.125000
24.440000, 10084.250000, 11454.750000
24.480000, 10093.625000, 11471.375000
24.520000, 10786.000000, 11458.000000
24.560000, 10696.375000, 11456.625000
24.600000, 10606.750000, 11468.250000
24.640000, 10506.125000, 11477.875000
24.680000, 10423.500000, 11487.500000
24.720000, 10356.875000, 11459.125000
24.760000, 10296.250000, 11485.750000
24.800000, 10246.625000, 11470.375000
24.840000, 10188.000000, 11461.000000
24.880000, 10171.375000, 11487.625000
24.920000, 10157.750000, 11477.250000
24.960000, 10142.125000, 11438.875000
25.000000, 10129.500000, 11459.500000
25.040000, 10089.875000, 11456.125000
25.080000, 10108.250000, 11439.750000
25.120000, 10083.625000, 11439.375000
25.160000, 10094.000000, 11423.000000
25.200000, 10090.375000, 11408.625000
25.240000, 10072.750000, 11431.250000
25.280000, 10080.125000, 11401.875000
25.320000, 10080.500000, 11404.500000
25.360000, 10110.875000, 11398.125000
25.400000, 10100.250000, 11376.750000
25.440000, 10089.625000, 11378.375000
25.480000, 10060.000000, 11394.000000
25.520000, 10064.375000, 11389.625000
25.560000, 10052.750000, 11395.250000
25.600000, 10068.125000, 11399.875000
25.640000, 10064.500000, 11397.500000
25.680000, 10067.875000, 11415.125000
25.720000, 10081.250000, 11435.750000
25.760000, 10054.625000, 11416.375000
25.800000, 10057.000000, 11428.000000
25.840000, 10080.375000, 11410.625000
25.880000, 10078.750000, 11437.250000
25.920000, 10091.125000, 11450.875000
25.960000, 10078.500000, 11444.500000
26.000000, 10096.875000, 11454.125000
26.040000, 10063.250000, 11467.750000
26.080000, 10082.625000, 11470.375000
26.120000, 10099.000000, 11448.000000
26.160000, 10081.375000, 11435.625000
26.200000, 10118.750000, 11442.250000
26.240000, 10082.125000, 11462.875000
26.280000, 10106.500000, 11450.500000
26.320000, 10096.875000, 11448.125000
26.360000, 10095.250000, 11449.750000
26.400000, 10114.625000, 11459.375000
26.440000, 10104.000000, 11439.000000
26.480000, 10118.375000, 11442.625000
26.520000, 10118.750000, 11448.250000
26.560000, 10091.125000, 11462.875000
26.600000, 10129.500000, 11466.500000
26.640000, 10134.875000, 11456.125000
26.680000, 10167.250000, 11486.750000
26.720000, 10166.625000, 11472.375000
26.760000, 10158.000000, 11454.000000
26.800000, 10153.375000, 11439.625000
26.840000, 10161.750000, 11430.250000
26.880000, 10136.125000, 11420.875000
26.920000, 10133.500000, 11428.500000
26.960000, 10149.875000, 11424.125000
27.000000, 10156.250000, 11414.750000
27.040000, 10137.625000, 10722.375000
27.080000, 10148.000000, 10812.000000
27.120000, 10119.375000, 10901.625000
27.160000, 10137.750000, 11002.250000
27.200000, 10130.125000, 11084.875000
27.240000, 10114.500000, 11151.500000
27.280000, 10135.875000, 11212.125000
27.320000, 10161.250000, 11261.750000
27.360000, 10155.625000, 11320.375000
27.400000, 10150.000000, 11337.000000
27.440000, 10167.375000, 11350.625000
27.480000, 10163.750000, 11366.250000
27.520000, 10145.125000, 11378.875000
27.560000, 10142.500000, 11418.500000
27.600000, 10158.875000, 11400.125000
27.640000, 10145.250000, 11424.750000
27.680000, 10150.625000, 11414.375000
27.720000, 10151.000000, 11418.000000
27.760000, 10147.375000, 11435.625000
27.800000, 10170.750000, 11428.250000
27.840000, 10128.125000, 11427.875000
27.880000, 10116.500000, 11397.500000
27.920000, 10104.875000, 11408.125000
27.960000, 10100.250000, 11418.750000
28.000000, 10132.625000, 11448.375000
28.040000, 10102.000000, 11444.000000
28.080000, 10094.375000, 11455.625000
28.120000, 10098.750000, 11440.250000
28.160000, 10114.125000, 11443.875000
28.200000, 10147.500000, 11440.500000
28.240000, 10133.875000, 11427.125000
28.280000, 10109.250000, 11453.750000
28.320000, 10133.625000, 11451.375000
28.360000, 10137.000000, 11428.000000
28.400000, 10126.375000, 11429.625000
28.440000, 10133.750000, 11417.250000
28.480000, 10110.125000, 11429.875000
28.520000, 10137.500000, 11411.500000
28.560000, 10114.875000, 11445.125000
28.600000, 10112.250000, 11425.750000
28.640000, 10080.625000, 11409.375000
28.680000, 10115.000000, 11427.000000
28.720000, 10062.375000, 11389.625000
28.760000, 10066.750000, 11426.250000
28.800000, 10079.125000, 11401.875000
